image_name,Pprompt,Nprompt,illusion_strength,label,LLaVa_IllusionAnimals_ill_images,LLaVa_IllusionAnimals_illusion_images_filtered,LLaVa_IllusionAnimals_illusionless_images,LLaVa_IllusionAnimals_illusionless_images_filtered,LLaVa_IllusionAnimals_raw_images
IllusionAnimals_224,An arctic fox in a snowy tundra,low quality,2.5,pigeon, dog, pigeon, dog, deer, pigeon
IllusionAnimals_225,A pirate ship battling with a sea monster,low quality,2.5,pigeon, snake, pigeon, snake, snake, pigeon
IllusionAnimals_226,A field of lavender with bees buzzing around the fragrant flowers,low quality,2.5,pigeon, rooster, pigeon, butterfly, No illusion, pigeon
IllusionAnimals_227,"Flowing lava illuminates cavern walls, ancient hieroglyphs etched into rock",low quality,2.5,pigeon, rooster, pigeon, No illusion, snake, pigeon
IllusionAnimals_228,Puffin taking flight from coastal cliffs,low quality,2.5,pigeon, butterfly, pigeon, pigeon, dog, pigeon
IllusionAnimals_229,A futuristic city with flying cars and neon lights,low quality,2.5,pigeon, dog, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_230,"Golden light paints meadow grass, mountains rise imposingly, river reflects rainbow hues",low quality,2.5,pigeon, pigeon, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_231,A colorful sunset over a calm sea,low quality,2.5,pigeon, pigeon, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_232,A bustling city street lined with colorful shops and towering skyscrapers,low quality,2.5,pigeon, rooster, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_233,Leopard lounging in tree branches,low quality,2.5,pigeon, cat, pigeon, cat, cat, pigeon
IllusionAnimals_234,Tranquil meadow with blooming flowers and a stream,low quality,2.5,pigeon, dog, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_235,A grand ballroom filled with elegant dancers in lavish attire,low quality,2.5,pigeon, butterfly, pigeon, dog, dog, pigeon
IllusionAnimals_236,Golden leaf autumn canopy covering ground,low quality,2.5,pigeon, butterfly, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_237,Urban city with skyscrapers and traffic,low quality,2.5,pigeon, fish, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_238,"Mountain meets lake reflection, sunlight dances on ripples, birds flutter over water",low quality,2.5,pigeon, pigeon, pigeon, pigeon, pigeon, pigeon
IllusionAnimals_239,A steamy jungle with lush foliage and exotic wildlife,low quality,2.5,pigeon, rooster, pigeon, snake, cat, pigeon
IllusionAnimals_240,"A serene reflection of stars in a tranquil lake, moonlight cascading over mountains",low quality,2.5,pigeon, fish, pigeon, No illusion, fish, pigeon
IllusionAnimals_241,"Golden light teases mountain tops, river reflects rainbow hues, birds sing softly",low quality,2.5,pigeon, elephant, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_242,A desert with camels and pyramids,low quality,2.5,pigeon, snake, pigeon, elephant, elephant, pigeon
IllusionAnimals_243,"Golden light meets mountain haze, river meets grassy plains, birds migrate in joyful maze",low quality,2.5,pigeon, elephant, pigeon, cat, No illusion, pigeon
IllusionAnimals_244,Fox darting through pristine snow,low quality,2.5,pigeon, cat, dog, dog, dog, pigeon
IllusionAnimals_245,A colorful hot air balloon festival filling the sky with hues,low quality,2.5,pigeon, butterfly, pigeon, No illusion, cat, pigeon
IllusionAnimals_246,A colorful hot air balloon floating over a patchwork landscape,low quality,2.5,pigeon, butterfly, pigeon, butterfly, No illusion, pigeon
IllusionAnimals_247,A majestic bridge spanning a wide river,low quality,2.5,pigeon, elephant, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_248,A forest with blooming flowers,low quality,2.5,pigeon, rooster, pigeon, pigeon, dog, pigeon
IllusionAnimals_249,A charming cottage covered in ivy with a thatched roof,low quality,2.5,pigeon, No illusion, pigeon, cat, dog, pigeon
IllusionAnimals_250,"Sunbeams pierce dark forest depths, river flow washes over rocks, birds call from branches",low quality,2.5,pigeon, rooster, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_251,Magenta sunrise greeting hopeful dawn,low quality,2.5,pigeon, pigeon, pigeon, deer, cat, pigeon
IllusionAnimals_252,"Ancient tree roots intertwining across the moonlit forest floor, moonlight filtering through branches",low quality,2.5,pigeon, elephant, pigeon, snake, No illusion, pigeon
IllusionAnimals_253,A bustling city street lined with colorful shops and towering skyscrapers,low quality,2.5,pigeon, elephant, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_254,Playful otters frolicking in shallow rapids,low quality,2.5,pigeon, fish, pigeon, dog, dog, pigeon
IllusionAnimals_255,A time-worn pirate ship adrift at sea,low quality,2.5,pigeon, pigeon, pigeon, snake, snake, pigeon
IllusionAnimals_256,Sandy dunes meet turquoise seas under a stormy sky,low quality,2.5,pigeon, fish, pigeon, No illusion, snake, pigeon
IllusionAnimals_257,Graceful swans gliding effortlessly across glassy lake surface,low quality,2.5,pigeon, fish, pigeon, fish, fish, pigeon
IllusionAnimals_258,Ocean wave curling gracefully onto beach,low quality,2.5,pigeon, fish, pigeon, fish, No illusion, pigeon
IllusionAnimals_259,A colorful sunset over a calm beautiful lake,low quality,2.5,pigeon, rooster, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_260,A field of lavender with bees buzzing around the fragrant flowers,low quality,2.5,pigeon, pigeon, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_261,Misty jungle surrounded by vibrant flowers and tall palm trees,low quality,2.5,pigeon, pigeon, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_262,A lively carnival with bright tents and rides,low quality,2.5,pigeon, cat, pigeon, No illusion, dog, pigeon
IllusionAnimals_263,A medieval castle perched on a cliff overlooking the ocean,low quality,2.5,pigeon, No illusion, pigeon, pigeon, pigeon, pigeon
IllusionAnimals_264,"A forgotten boat rests beneath the waves, sunlight illuminating its weathered hull",low quality,2.5,pigeon, pigeon, pigeon, snake, fish, pigeon
IllusionAnimals_265,A bustling marketplace with colorful stalls and vibrant street food vendors,low quality,2.5,pigeon, horse, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_266,A forest with tall trees and a flowing river,low quality,2.5,pigeon, rooster, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_267,"Forest sunrise, golden light stretches through canopy, birds sing softly",low quality,2.5,pigeon, rooster, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_268,A foggy forest with a winding river,low quality,2.5,pigeon, rooster, pigeon, cat, No illusion, pigeon
IllusionAnimals_269,Beautiful butterfly alighting on delicate flower petals,low quality,2.5,pigeon, butterfly, rooster, butterfly, butterfly, pigeon
IllusionAnimals_270,A rooftop view of a sprawling metropolis at night,low quality,2.5,pigeon, cat, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_271,A misty forest filled with towering redwoods,low quality,2.5,pigeon, horse, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_272,"Vast forest meets mountain peaks, sunlight filters through canopy secrets, birds sing in rhythmic streaks",low quality,2.5,pigeon, No illusion, pigeon, pigeon, No illusion, pigeon
IllusionAnimals_273,"Mountain meets lake reflection, sunlight dances on ripples, birds flutter over water",low quality,2.5,pigeon, fish, pigeon, rooster, No illusion, pigeon
IllusionAnimals_274,"City skyline reflected in a pool of water, neon lights shimmering",low quality,2.5,pigeon, rooster, pigeon, No illusion, fish, pigeon
IllusionAnimals_275,A dirt path leading through a lush forest,low quality,2.5,pigeon, snake, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_276,A bustling city square adorned with festive decorations,low quality,2.5,pigeon, rooster, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_277,"Volcanic mountains erupt in waves of fire, glowing rivers flow through valleys below",low quality,2.5,pigeon, No illusion, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_278,"Glowing fields of wildflowers stretch endlessly, vintage tractor leaves dusty trail",low quality,2.5,pigeon, rooster, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_279,A dreamy landscape with a cloudy sky and a rainbow,low quality,2.5,pigeon, pigeon, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_280,A quaint seaside town with colorful fishing boats,low quality,2.5,pigeon, fish, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_281,"Golden warmth paints mountain slopes, river flows swiftly below, birds sing in colorful patterns",low quality,2.5,pigeon, dog, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_282,A starry night over a calm sea,low quality,2.5,pigeon, pigeon, pigeon, No illusion, cat, pigeon
IllusionAnimals_283,"Pulse of the city fades to sea, mountains rise in rhythmic sway, river meets the history",low quality,2.5,pigeon, pigeon, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_284,A field of vibrant wildflowers under a clear blue sky,low quality,2.5,pigeon, pigeon, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_285,A vibrant field of wildflowers blowing in the wind,low quality,2.5,pigeon, dog, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_286,A bustling city street with neon lights and towering skyscrapers,low quality,2.5,pigeon, dog, horse, No illusion, No illusion, pigeon
IllusionAnimals_287,"Abandoned laboratory, scientific symbols floating in the air",low quality,2.5,pigeon, butterfly, dog, butterfly, dog, pigeon
IllusionAnimals_288,"Gentle waves lap sandy shores, towering waves crash against ancient cliffs",low quality,2.5,pigeon, elephant, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_289,Hyena laughing boisterously while feasting,low quality,2.5,pigeon, dog, pigeon, dog, cat, pigeon
IllusionAnimals_290,A refreshing oasis amidst vast desert sands,low quality,2.5,pigeon, rooster, pigeon, No illusion, cat, pigeon
IllusionAnimals_291,A lovely wedding reception held in elegant hall,low quality,2.5,pigeon, elephant, pigeon, dog, No illusion, pigeon
IllusionAnimals_292,A serene lake with lush forest and mountains,low quality,2.5,pigeon, rooster, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_293,A picturesque seaside town with colorful houses lining the shore,low quality,2.5,pigeon, cat, pigeon, cat, No illusion, pigeon
IllusionAnimals_294,"Gentle waves reflect moonlight, illuminating underwater life in vibrant colors",low quality,2.5,pigeon, fish, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_295,Shark fin slicing smoothly through deep blue sea,low quality,2.5,pigeon, fish, pigeon, fish, fish, pigeon
IllusionAnimals_296,"Neon rivers flow through silicon sand, mountains sculpted from fractured land, birds made of light expand",low quality,2.5,pigeon, rooster, pigeon, No illusion, snake, pigeon
IllusionAnimals_297,Sun-drenched wasteland with shattered robots and crumbling structures,low quality,2.5,pigeon, dog, horse, No illusion, cat, pigeon
IllusionAnimals_298,A bustling city skyline at night,low quality,2.5,pigeon, cat, pigeon, No illusion, No illusion, pigeon
IllusionAnimals_299,"Neon rivers flow through silicon sand, mountains sculpted from fractured land, birds made of light expand",low quality,2.5,pigeon, pigeon, pigeon, No illusion, snake, pigeon
IllusionAnimals_300,A playful dolphin jumping out of crystal-clear waters,low quality,2.5,pigeon, dog, pigeon, fish, fish, pigeon
IllusionAnimals_301,A winding river snaking through a lush green landscape,low quality,2.5,butterfly, butterfly, butterfly, snake, No illusion, butterfly
IllusionAnimals_302,"Windswept dunes meeting turquoise sea, rolling waves foam and crest",low quality,2.5,butterfly, butterfly, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_303,A mystical desert oasis with palm trees and cool water,low quality,2.5,butterfly, snake, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_304,Crocodile basking in tropical sunshine,low quality,2.5,butterfly, snake, butterfly, snake, snake, butterfly
IllusionAnimals_305,A lighthouse amidst a green landscape with the sea behind,low quality,2.5,butterfly, pigeon, butterfly, pigeon, snake, butterfly
IllusionAnimals_306,"Sun washes over river's surface, birds soar through canyon glow, sunlight filters through trees",low quality,2.5,butterfly, butterfly, butterfly, butterfly, No illusion, butterfly
IllusionAnimals_307,"Starlight spills over snow-covered mountains, lone cabin huddled in valley below",low quality,2.5,butterfly, No illusion, butterfly, dog, dog, butterfly
IllusionAnimals_308,"Neon city zoomed at night, palm trees reaching sky's edge",low quality,2.5,butterfly, cat, butterfly, pigeon, cat, butterfly
IllusionAnimals_309,A Guru Nanak Jayanti langar serving equality,low quality,2.5,butterfly, butterfly, butterfly, No illusion, elephant, butterfly
IllusionAnimals_310,A peaceful meadow filled with grazing deer,low quality,2.5,butterfly, butterfly, butterfly, deer, horse, butterfly
IllusionAnimals_311,"City skyline reflected in a pool of water, neon lights shimmering",low quality,2.5,butterfly, fish, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_312,Vintage carnival with Ferris wheel against twilight sky,low quality,2.5,butterfly, elephant, butterfly, dog, elephant, butterfly
IllusionAnimals_313,A peaceful cottage in a forest glade,low quality,2.5,butterfly, dog, butterfly, No illusion, dog, butterfly
IllusionAnimals_314,A field of daisies with a rainbow in the background,low quality,2.5,butterfly, butterfly, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_315,Birds singing harmoniously at dawn,low quality,2.5,butterfly, butterfly, butterfly, pigeon, pigeon, butterfly
IllusionAnimals_316,A cozy cafe on a rainy day,low quality,2.5,butterfly, cat, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_317,A lush meadow beneath a bright blue summer sky,low quality,2.5,butterfly, No illusion, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_318,Misty jungle surrounded by vibrant flowers and tall palm trees,low quality,2.5,butterfly, butterfly, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_319,"Tropical forest meets cascading waterfall, turquoise river churns",low quality,2.5,butterfly, elephant, butterfly, pigeon, dog, butterfly
IllusionAnimals_320,"Ancient cave entrance, stalactites glow, sunlight filters through dusty air",low quality,2.5,butterfly, butterfly, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_321,A doe by a lake drinking water,low quality,2.5,butterfly, deer, butterfly, deer, deer, butterfly
IllusionAnimals_322,"Space station orbits Earth, glowing city lights twinkle below clouds",low quality,2.5,butterfly, butterfly, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_323,A futuristic city with flying cars and neon lights,low quality,2.5,butterfly, pigeon, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_324,Rhinos charging through savannah,low quality,2.5,butterfly, elephant, butterfly, elephant, elephant, butterfly
IllusionAnimals_325,A futuristic cityscape with flying cars and neon signs,low quality,2.5,butterfly, butterfly, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_326,Glittering icicles hanging precariously off ledge,low quality,2.5,butterfly, butterfly, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_327,Moon setting behind rolling sand dunes in early dawn light,low quality,2.5,butterfly, butterfly, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_328,Seaside boardwalk with vintage arcade games,low quality,2.5,butterfly, butterfly, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_329,A forest with tall trees and a babbling brook,low quality,2.5,butterfly, butterfly, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_330,A rustic barn surrounded by fields of golden wheat,low quality,2.5,butterfly, pigeon, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_331,A vibrant sunset painting the sky in hues of orange and pink,low quality,2.5,butterfly, butterfly, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_332,Gentle waves guide small boats through hidden mangrove forest,low quality,2.5,butterfly, fish, butterfly, cat, No illusion, butterfly
IllusionAnimals_333,A winter solstice bonfire warming hearts,low quality,2.5,butterfly, butterfly, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_334,Tranquil forest with birds singing in the canopy,low quality,2.5,butterfly, butterfly, butterfly, butterfly, No illusion, butterfly
IllusionAnimals_335,An ancient city in the desert,low quality,2.5,butterfly, butterfly, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_336,Kangaroo bounding powerfully across Outback expanse,low quality,2.5,butterfly, butterfly, butterfly, dog, horse, butterfly
IllusionAnimals_337,A bustling train station with passengers rushing to catch their trains,low quality,2.5,butterfly, No illusion, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_338,A vast blue ocean containing small islands with palm trees,low quality,2.5,butterfly, cat, cat, pigeon, No illusion, butterfly
IllusionAnimals_339,"A shimmering river flows through a desolate canyon, sunlight highlighting the eroded rock walls",low quality,2.5,butterfly, No illusion, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_340,A majestic bald eagle soaring overhead,low quality,2.5,butterfly, pigeon, butterfly, butterfly, pigeon, butterfly
IllusionAnimals_341,A dark alleyway with neon lights and graffiti,low quality,2.5,butterfly, butterfly, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_342,A forest with tall trees and a winding path,low quality,2.5,butterfly, snake, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_343,"Steam rises from meadow meadows, wildflowers bloom in vibrant hues, birds flutter",low quality,2.5,butterfly, pigeon, butterfly, pigeon, cat, butterfly
IllusionAnimals_344,Tranquil mountains overlooking a lush jungle and flowing river,low quality,2.5,butterfly, butterfly, butterfly, dog, No illusion, butterfly
IllusionAnimals_345,A foggy forest with tall trees and a wooden bridge,low quality,2.5,butterfly, elephant, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_346,An abandoned castle with ivy-covered walls and a moat,low quality,2.5,butterfly, cat, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_347,"City skyline reflected in a pool of water, neon lights shimmering",low quality,2.5,butterfly, butterfly, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_348,A field of poppies swaying in the breeze under a clear sky,low quality,2.5,butterfly, butterfly, butterfly, No illusion, cat, butterfly
IllusionAnimals_349,"Sunbeams break through jungle canopy, river winds through valleys, sunlight paints patterns on everything",low quality,2.5,butterfly, butterfly, butterfly, fish, No illusion, butterfly
IllusionAnimals_350,Cheetah sprinting swiftly,low quality,2.5,butterfly, cat, butterfly, cat, cat, butterfly
IllusionAnimals_351,Desert canyon with towering rock formations illuminated by glowing sunlight,low quality,2.5,butterfly, No illusion, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_352,"Gentle waves lap against sandy beach, distant storm glows clouds over mountains",low quality,2.5,butterfly, pigeon, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_353,Tranquil meadow with wildflowers and distant hills,low quality,2.5,butterfly, butterfly, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_354,A girl with brown hair wearing a black dress standing in a field of flowers,low quality,2.5,butterfly, butterfly, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_355,A bustling harbor filled with fishing boats and seagulls,low quality,2.5,butterfly, cat, butterfly, pigeon, No illusion, butterfly
IllusionAnimals_356,A Kwanzaa celebration honoring heritage,low quality,2.5,butterfly, cat, butterfly, rooster, pigeon, butterfly
IllusionAnimals_357,"Volcanic mountains erupt in clouds, geothermal lake forms below",low quality,2.5,butterfly, elephant, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_358,Camels crossing expansive desert dunes,low quality,2.5,butterfly, butterfly, butterfly, elephant, dog, butterfly
IllusionAnimals_359,A vast desert under the twilight sky,low quality,2.5,butterfly, snake, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_360,"Golden sunrise paints horizon, vast desert landscape, dunes shift in the gentle breeze",low quality,2.5,butterfly, snake, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_361,A rugged canyon carved by a winding river,low quality,2.5,butterfly, snake, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_362,A delightful puppet show entertaining young audiences,low quality,2.5,butterfly, cat, butterfly, cat, cat, butterfly
IllusionAnimals_363,A bear fishing in a river at sunset,low quality,2.5,butterfly, butterfly, butterfly, rooster, No illusion, butterfly
IllusionAnimals_364,Old stone bridge over crystal clear mountain stream,low quality,2.5,butterfly, butterfly, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_365,Majestic castle standing proudly on cliffside,low quality,2.5,butterfly, pigeon, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_366,A lonely cottage in autumn forest,low quality,2.5,butterfly, dog, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_367,"Silent mountains embrace turquoise lake, sunlight paints ripples",low quality,2.5,butterfly, butterfly, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_368,"Mountain lake reflects snow-capped peaks, wildflowers dance on surface",low quality,2.5,butterfly, butterfly, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_369,"Mountain lake reflections, snow-capped peaks rise above, tranquil scene",low quality,2.5,butterfly, No illusion, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_370,Clouds parting to reveal brilliant sunlight,low quality,2.5,butterfly, dog, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_371,A cozy cottage nestled in a snow-covered forest,low quality,2.5,butterfly, dog, cat, dog, dog, butterfly
IllusionAnimals_372,A field of wild lupine flowers stretching out to the horizon,low quality,2.5,butterfly, butterfly, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_373,A rugged canyon carved by a winding river,low quality,2.5,butterfly, butterfly, butterfly, No illusion, dog, butterfly
IllusionAnimals_374,A festive carnival with bright lights and merry-go-rounds,low quality,2.5,butterfly, butterfly, butterfly, dog, elephant, butterfly
IllusionAnimals_375,A vibrant meadow with blooming flowers,low quality,2.5,butterfly, butterfly, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_376,"Volcanic mountains erupt in waves of fire, glowing rivers flow through valleys below",low quality,2.5,butterfly, dog, dog, No illusion, No illusion, butterfly
IllusionAnimals_377,"An ancient temple overgrown with vines, sunlight filtering through crumbled stones",low quality,2.5,butterfly, elephant, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_378,Towering giant sequoia stretching high into sky,low quality,2.5,butterfly, elephant, butterfly, cat, elephant, butterfly
IllusionAnimals_379,**Scene:** A tranquil valley with a winding river and lush greenery,low quality,2.5,butterfly, cat, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_380,Majestic castle standing proudly on cliffside,low quality,2.5,butterfly, butterfly, butterfly, No illusion, pigeon, butterfly
IllusionAnimals_381,"Ethereal forest, sunlight filters through canopy, river flows silent",low quality,2.5,butterfly, butterfly, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_382,A bustling city street with neon lights and bustling crowds,low quality,2.5,butterfly, butterfly, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_383,Eerie underwater lab with glowing fish and abandoned research equipment,low quality,2.5,butterfly, fish, butterfly, fish, cat, butterfly
IllusionAnimals_384,A surreal landscape with floating islands,low quality,2.5,butterfly, pigeon, butterfly, pigeon, No illusion, butterfly
IllusionAnimals_385,A charming cottage covered in ivy with a thatched roof,low quality,2.5,butterfly, pigeon, butterfly, cat, cat, butterfly
IllusionAnimals_386,"A vibrant sunset paints the desert landscape, casting long shadows over the towering dunes",low quality,2.5,butterfly, snake, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_387,A quaint village with cobblestone streets,low quality,2.5,butterfly, butterfly, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_388,"Sunbeams pierce dark forest depths, river flow washes over rocks, birds call from branches",low quality,2.5,butterfly, snake, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_389,A lively carnival with bright tents and rides,low quality,2.5,butterfly, butterfly, butterfly, No illusion, dog, butterfly
IllusionAnimals_390,A vibrant forest with lush vegetation and a meandering river,low quality,2.5,butterfly, fish, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_391,A nostalgic drive-in movie theater under the stars,low quality,2.5,butterfly, cat, butterfly, dog, No illusion, butterfly
IllusionAnimals_392,"Golden sunrise paints mountains gold, river reflects in quiet lake, birds sing softly",low quality,2.5,butterfly, fish, butterfly, dog, cat, butterfly
IllusionAnimals_393,A bustling marketplace with colorful stalls and exotic goods,low quality,2.5,butterfly, No illusion, butterfly, rooster, No illusion, butterfly
IllusionAnimals_394,A charming vineyard with rows of grapevines stretching towards the horizon,low quality,2.5,butterfly, pigeon, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_395,Cypress-lined lake reflects moonlight over granite cliffs,low quality,2.5,butterfly, fish, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_396,A lush vineyard stretching over rolling hills,low quality,2.5,butterfly, elephant, butterfly, No illusion, No illusion, butterfly
IllusionAnimals_397,"Vast expanse meets mountain lake, sunlight paints ripples, birds gently awake",low quality,2.5,butterfly, fish, butterfly, fish, No illusion, butterfly
IllusionAnimals_398,A spacecraft entering Mars' orbit,low quality,2.5,butterfly, butterfly, butterfly, No illusion, snake, butterfly
IllusionAnimals_399,"Sunrise paints mountains golden, river meanders through valleys, birds sing in harmony",low quality,2.5,butterfly, butterfly, butterfly, pigeon, No illusion, butterfly
IllusionAnimals_400,A spooky graveyard under a full moon,low quality,2.5,butterfly, snake, butterfly, cat, cat, butterfly
IllusionAnimals_401,"Sun-drenched meadow meets winding waterfall, cradled by rolling hills",low quality,2.5,elephant, elephant, elephant, No illusion, snake, elephant
IllusionAnimals_402,Tranquil meadow with blooming flowers and a stream,low quality,2.5,elephant, elephant, elephant, No illusion, No illusion, elephant
IllusionAnimals_403,"A glimpse of hidden ruins illuminated by moonlight, secrets whispered in the shadows",low quality,2.5,elephant, elephant, elephant, dog, cat, elephant
IllusionAnimals_404,"Gentle waves meet volcanic cliffs, stars twinkle above",low quality,2.5,elephant, elephant, elephant, No illusion, No illusion, elephant
IllusionAnimals_405,A majestic bald eagle soaring overhead,low quality,2.5,elephant, pigeon, elephant, pigeon, pigeon, elephant
IllusionAnimals_406,A babbling brook flowing gently among mossy boulders,low quality,2.5,elephant, dog, elephant, No illusion, No illusion, elephant
IllusionAnimals_407,A grand palace with ornate golden gates and pillars,low quality,2.5,elephant, elephant, elephant, elephant, No illusion, elephant
IllusionAnimals_408,Geysir erupting in Yellowstone National Park,low quality,2.5,elephant, elephant, elephant, snake, fish, elephant
IllusionAnimals_409,A cozy fireplace crackling in a rustic log cabin,low quality,2.5,elephant, dog, elephant, cat, dog, elephant
IllusionAnimals_410,"Serene lake reflects snowy mountains, ice-covered trees dot surface like decorations",low quality,2.5,elephant, No illusion, elephant, No illusion, No illusion, elephant
IllusionAnimals_411,A Guru Nanak Jayanti langar serving equality,low quality,2.5,elephant, elephant, elephant, rooster, No illusion, elephant
IllusionAnimals_412,Crocodile basking in tropical sunshine,low quality,2.5,elephant, snake, elephant, snake, snake, elephant
IllusionAnimals_413,"Coastal cliffs meet crashing waves, sunlight illuminates spray",low quality,2.5,elephant, elephant, elephant, No illusion, dog, elephant
IllusionAnimals_414,A serene lake with a majestic waterfall,low quality,2.5,elephant, elephant, elephant, No illusion, No illusion, elephant
IllusionAnimals_415,A magical fairytale forest filled with unicorns,low quality,2.5,elephant, elephant, elephant, horse, horse, elephant
IllusionAnimals_416,Wolf pack howling at full moon,low quality,2.5,elephant, dog, elephant, dog, dog, elephant
IllusionAnimals_417,"Dense forest canopy, sunlight filters through, river winds through valleys",low quality,2.5,elephant, pigeon, elephant, No illusion, No illusion, elephant
IllusionAnimals_418,A peaceful lakeside campfire surrounded by friends and laughter,low quality,2.5,elephant, No illusion, elephant, dog, No illusion, elephant
IllusionAnimals_419,"Eerie silence hangs over abandoned factory, moonlight bathes ghostly figures",low quality,2.5,elephant, dog, elephant, No illusion, No illusion, elephant
IllusionAnimals_420,A lovely wedding reception held in elegant hall,low quality,2.5,elephant, butterfly, elephant, dog, dog, elephant
IllusionAnimals_421,A secluded cabin nestled in a snowy forest,low quality,2.5,elephant, dog, elephant, dog, No illusion, elephant
IllusionAnimals_422,"Vast desert landscape meets towering cliffs, sunlight casts long shadows, silence reigns supreme",low quality,2.5,elephant, elephant, elephant, No illusion, No illusion, elephant
IllusionAnimals_423,Lenticular clouds hovering above Andean peaks,low quality,2.5,elephant, No illusion, elephant, No illusion, No illusion, elephant
IllusionAnimals_424,A Kwanzaa celebration honoring heritage,low quality,2.5,elephant, elephant, elephant, elephant, elephant, elephant
IllusionAnimals_425,A moonlit forest with fireflies dancing in the darkness,low quality,2.5,elephant, snake, elephant, snake, No illusion, elephant
