image_name,Pprompt,Nprompt,illusion_strength,label,LLaVa_FashionMnist_ill_images,LLaVa_FashionMnist_illusion_images_filtered,LLaVa_FashionMnist_illusionless_images,LLaVa_FashionMnist_illusionless_images_filtered,LLaVa_FashionMnist_raw_images
FashionMnist_200,"A cascading waterfall illuminates the canyon with glowing light, shadow dancing over rocks",low quality,1.5,1, Sandal, Trouser, Sandal, Ankle boot, Trouser
FashionMnist_201,Aurora borealis streaking across the Arctic sky,low quality,1.5,1, Pullover, Trouser, Coat, Pullover, Trouser
FashionMnist_202,A train on a bridge over a deep valley,low quality,1.5,0, Sneaker, T-shirt/top, Coat, No illusion, T-shirt/top
FashionMnist_203,A serene temple high in the misty mountains,low quality,1.5,2, Coat, Pullover, Coat, Trouser, T-shirt/top
FashionMnist_204,A field of sunflowers at sunrise,low quality,1.5,9, Shirt, Ankle boot, Shirt, Ankle boot, Sneaker
FashionMnist_205,Lemur swinging nimbly through Madagascar's deciduous forests,low quality,1.5,2, T-shirt/top, T-shirt/top, Pullover, Pullover, T-shirt/top
FashionMnist_206,A majestic sunset over a vast savanna,low quality,1.5,4, Sandal, Trouser, Sandal, Ankle boot, Pullover
FashionMnist_207,Bioluminescent bay glowing under starlit skies,low quality,1.5,0, Sandal, T-shirt/top, Sandal, Ankle boot, T-shirt/top
FashionMnist_208,Tranquil beach with clear water and white sand,low quality,1.5,7, Sandal, Sneaker, Sandal, Sandal, Sneaker
FashionMnist_209,A dense jungle alive with the sounds of exotic birds,low quality,1.5,9, Dress, Ankle boot, Bag, Ankle boot, Ankle boot
FashionMnist_210,A lush meadow with wildflowers and butterflies,low quality,1.5,8, T-shirt/top, No illusion, Bag, Bag, T-shirt/top
FashionMnist_211,A majestic iceberg floating in a frigid arctic sea,low quality,1.5,4, Coat, No illusion, Coat, Coat, Pullover
FashionMnist_212,Rolling green hills dotted with grazing sheep under white clouds,low quality,1.5,1, Pullover, Trouser, Sandal, Ankle boot, T-shirt/top
FashionMnist_213,Sunrise over a misty lavender field,low quality,1.5,8, Ankle boot, Ankle boot, No illusion, Ankle boot, T-shirt/top
FashionMnist_214,A futuristic cityscape with towering skyscrapers and flying cars,low quality,1.5,4, Sneaker, Ankle boot, Sneaker, T-shirt/top, T-shirt/top
FashionMnist_215,"A hazy sky reflects on a tranquil lake, moonlight bathing the surrounding mountains",low quality,1.5,1, Coat, No illusion, Pullover, Ankle boot, Trouser
FashionMnist_216,A sunset at the ocean with a palm tree,low quality,1.5,3, Sandal, Ankle boot, Sandal, Ankle boot, Dress
FashionMnist_217,A playful dolphin jumping out of crystal-clear waters,low quality,1.5,1, Sandal, No illusion, Sandal, Ankle boot, Trouser
FashionMnist_218,"Eerie silence hangs over abandoned factory, moonlight bathes ghostly figures",low quality,1.5,6, No illusion, Ankle boot, Coat, Ankle boot, T-shirt/top
FashionMnist_219,A bustling street market with vendors selling exotic wares,low quality,1.5,7, Bag, Coat, Dress, Ankle boot, Sneaker
FashionMnist_220,Sunset over the pier,low quality,1.5,2, Sandal, Trouser, Sandal, Ankle boot, T-shirt/top
FashionMnist_221,A futuristic space station orbiting a distant planet,low quality,1.5,8, Coat, Trouser, No illusion, No illusion, T-shirt/top
FashionMnist_222,A meadow with a stream and rainbow,low quality,1.5,5, Bag, Ankle boot, Pullover, No illusion, Shirt
FashionMnist_223,A lonely house on the moonlit hill,low quality,1.5,2, Trouser, Trouser, No illusion, Pullover, T-shirt/top
FashionMnist_224,A forest with tall trees and dense undergrowth,low quality,1.5,0, Pullover, T-shirt/top, No illusion, Ankle boot, T-shirt/top
FashionMnist_225,A serene temple high in the misty mountains,low quality,1.5,7, Coat, Sneaker, Coat, Coat, Sneaker
FashionMnist_226,"Ancient temple ruins under a desert sunset, dunes reflected in the shadows",low quality,1.5,7, Ankle boot, Sneaker, Ankle boot, Ankle boot, Sneaker
FashionMnist_227,A Wesak Day procession walking compassionately,low quality,1.5,6, T-shirt/top, T-shirt/top, Coat, Coat, T-shirt/top
FashionMnist_228,Foggy graveyard with crooked tombstones under moonlight,low quality,1.5,2, Bag, T-shirt/top, No illusion, No illusion, T-shirt/top
FashionMnist_229,"Soft, ethereal light paints a serene landscape, mysterious whispers fill the air",low quality,1.5,7, Pullover, Sneaker, Bag, Ankle boot, Sneaker
FashionMnist_230,A festive holiday parade down Main Street,low quality,1.5,0, Coat, T-shirt/top, Coat, Coat, T-shirt/top
FashionMnist_231,"Space station orbiting a purple planet, stars swirling around it",low quality,1.5,7, T-shirt/top, Sneaker, No illusion, Coat, Sneaker
FashionMnist_232,A mystical forest enchanted by swirling mist,low quality,1.5,8, Ankle boot, Ankle boot, No illusion, Ankle boot, T-shirt/top
FashionMnist_233,"Golden sunrise paints mountains gold, river reflects in quiet lake, birds sing softly",low quality,1.5,9, Trouser, Ankle boot, Sandal, Ankle boot, Sneaker
FashionMnist_234,A quiet country road winding through verdant pastures,low quality,1.5,2, No illusion, Pullover, Pullover, No illusion, T-shirt/top
FashionMnist_235,A vast desert with towering dunes and a lone camel,low quality,1.5,9, Sandal, Ankle boot, Sandal, Ankle boot, Ankle boot
FashionMnist_236,A charming cottage covered in ivy with a thatched roof,low quality,1.5,0, T-shirt/top, T-shirt/top, Bag, Ankle boot, T-shirt/top
FashionMnist_237,A dense forest with lofty mountains and a meandering river,low quality,1.5,5, No illusion, Sneaker, Pullover, No illusion, Shirt
FashionMnist_238,"Sun paints mountains golden glow, river whispers secrets below, birds dance in silent show",low quality,1.5,1, Sandal, Ankle boot, Sandal, Bag, Trouser
FashionMnist_239,"A vibrant forest glows with bioluminescent light, revealing hidden secrets",low quality,1.5,4, Pullover, Trouser, Dress, No illusion, Coat
FashionMnist_240,A vast desert landscape with towering sand dunes,low quality,1.5,4, Sandal, Bag, No illusion, Ankle boot, Pullover
FashionMnist_241,A Diwali diya illuminating path of knowledge,low quality,1.5,5, No illusion, T-shirt/top, Dress, No illusion, Shirt
FashionMnist_242,"Volcanic mountains erupt in clouds, geothermal lake forms below",low quality,1.5,6, Coat, Coat, Coat, Pullover, T-shirt/top
FashionMnist_243,"Neon light reflects off waves, futuristic city lights twinkle in distance",low quality,1.5,9, Sneaker, Ankle boot, No illusion, Ankle boot, Ankle boot
FashionMnist_244,Gentle waves guide small boats through hidden mangrove forest,low quality,1.5,2, Sneaker, Ankle boot, Bag, Ankle boot, T-shirt/top
FashionMnist_245,Lenticular clouds hovering above Andean peaks,low quality,1.5,6, Coat, Pullover, Coat, Coat, T-shirt/top
FashionMnist_246,A vibrant street art mural covering the side of a building,low quality,1.5,8, Shirt, Trouser, T-shirt/top, Trouser, T-shirt/top
FashionMnist_247,Bright bioluminescent plankton lighting up the shoreline,low quality,1.5,6, T-shirt/top, Pullover, Sandal, Ankle boot, T-shirt/top
FashionMnist_248,A misty forest shrouded in ancient trees and tangled vines,low quality,1.5,4, Pullover, Pullover, Bag, Trouser, T-shirt/top
FashionMnist_249,A bustling harbor with fishing boats and seagulls swooping overhead,low quality,1.5,2, Shirt, Coat, Shirt, Ankle boot, Bag
FashionMnist_250,A spacecraft entering Mars' orbit,low quality,1.5,2, Shirt, T-shirt/top, T-shirt/top, T-shirt/top, T-shirt/top
FashionMnist_251,"Coastal cliffs meet crashing waves, sunlight illuminates spray",low quality,1.5,9, Sandal, Ankle boot, Sandal, Ankle boot, Sneaker
FashionMnist_252,A close-up of a tiger staring at the camera,low quality,1.5,7, No illusion, Pullover, No illusion, Trouser, Sneaker
FashionMnist_253,Frozen Niagara Falls shimmering under winter sun,low quality,1.5,6, Bag, No illusion, Coat, No illusion, T-shirt/top
FashionMnist_254,Fox darting through pristine snow,low quality,1.5,5, Sneaker, T-shirt/top, Ankle boot, Ankle boot, Shirt
FashionMnist_255,Wild horses running free in windswept grasslands,low quality,1.5,5, Pullover, Sneaker, No illusion, Pullover, T-shirt/top
FashionMnist_256,A peaceful cabin under a cliff overlooking a lake,low quality,1.5,2, Shirt, Trouser, Trouser, Coat, T-shirt/top
FashionMnist_257,A bustling city street filled with colorful shops and pedestrians,low quality,1.5,8, Dress, Trouser, Trouser, Coat, Bag
FashionMnist_258,A colorful coral reef teeming with diverse marine life,low quality,1.5,5, Shirt, Ankle boot, Shirt, No illusion, Shirt
FashionMnist_259,A sunset in the desert with camels walking by,low quality,1.5,2, Sandal, Trouser, Sandal, Ankle boot, T-shirt/top
FashionMnist_260,"Giant sequoias blanketed in thick fog, Redwood NP",low quality,1.5,3, Dress, Dress, No illusion, Coat, Dress
FashionMnist_261,A cozy living room with a fireplace and Christmas tree,low quality,1.5,0, Coat, T-shirt/top, Coat, Coat, T-shirt/top
FashionMnist_262,"Vast mountains meet glowing river, reflections paint peaceful skies, birds chirp from towering heights",low quality,1.5,4, No illusion, Pullover, No illusion, Ankle boot, T-shirt/top
FashionMnist_263,Sunset over a calm tropical lake,low quality,1.5,8, Sandal, Bag, Dress, Ankle boot, Bag
FashionMnist_264,A vast desert with dunes and a lone camel,low quality,1.5,0, Sandal, T-shirt/top, Sandal, Ankle boot, Shirt
FashionMnist_265,A spooky graveyard with ancient headstones and gnarled trees,low quality,1.5,0, Bag, T-shirt/top, No illusion, No illusion, T-shirt/top
FashionMnist_266,Playful otters frolicking in shallow rapids,low quality,1.5,6, Sandal, T-shirt/top, Sneaker, Ankle boot, T-shirt/top
FashionMnist_267,"Mountain lake reflection, snow-capped peaks glow, birds flutter above the calm surface",low quality,1.5,3, Pullover, Dress, Sandal, Ankle boot, Dress
FashionMnist_268,An abandoned castle with ivy-covered walls and a moat,low quality,1.5,8, T-shirt/top, Bag, No illusion, No illusion, Bag
FashionMnist_269,"A vast, green meadow with wildflowers and a rainbow",low quality,1.5,9, Pullover, Sneaker, No illusion, No illusion, Sneaker
FashionMnist_270,"Vast ocean meets rocky cliffs, waves crash and spray, vibrant sunset paints the sky",low quality,1.5,6, Sandal, Pullover, No illusion, Ankle boot, T-shirt/top
FashionMnist_271,Vast underwater world filled with colorful fish and glowing coral formations,low quality,1.5,1, Trouser, Trouser, Shirt, T-shirt/top, Trouser
FashionMnist_272,"Sun shines on river's gentle flow, mountains reflect in patterns below, birds sing in silent glow",low quality,1.5,3, No illusion, No illusion, T-shirt/top, T-shirt/top, Shirt
FashionMnist_273,Urban city with skyscrapers and traffic,low quality,1.5,0, T-shirt/top, T-shirt/top, Sneaker, No illusion, T-shirt/top
FashionMnist_274,A spooky graveyard under a full moon,low quality,1.5,2, Bag, T-shirt/top, Bag, No illusion, T-shirt/top
FashionMnist_275,A girl playing volleyball on a beach,low quality,1.5,3, T-shirt/top, Dress, Sandal, Sandal, Dress
FashionMnist_276,A serene meadow with colorful wildflowers,low quality,1.5,0, T-shirt/top, Trouser, T-shirt/top, Ankle boot, T-shirt/top
FashionMnist_277,Foggy marshlands home to diverse bird species,low quality,1.5,8, Sandal, T-shirt/top, Ankle boot, Ankle boot, Bag
FashionMnist_278,"Vast mountains meet glowing river, reflections paint peaceful skies, birds chirp from towering heights",low quality,1.5,3, Sandal, T-shirt/top, Bag, No illusion, Dress
FashionMnist_279,Starship floating over a futuristic city,low quality,1.5,7, Coat, Ankle boot, Coat, Coat, Sneaker
FashionMnist_280,Saharan sandstorm turning daytime into darkness,low quality,1.5,4, Sandal, Pullover, Ankle boot, Ankle boot, Pullover
FashionMnist_281,Whale breaching through waves,low quality,1.5,0, T-shirt/top, T-shirt/top, Ankle boot, Ankle boot, T-shirt/top
FashionMnist_282,Fox sneaking furtively through snowy forest,low quality,1.5,1, Pullover, Trouser, Coat, Coat, Trouser
FashionMnist_283,A mystical forest shrouded in mist,low quality,1.5,6, T-shirt/top, Coat, Ankle boot, No illusion, Sandal
FashionMnist_284,A bustling harbor with ships coming and going,low quality,1.5,3, Coat, T-shirt/top, Coat, Ankle boot, T-shirt/top
FashionMnist_285,A lonely cottage in autumn forest,low quality,1.5,0, Trouser, T-shirt/top, No illusion, Ankle boot, T-shirt/top
FashionMnist_286,"Vast coral reef, vibrant colors dance, schools of fish dart through the waves",low quality,1.5,6, T-shirt/top, T-shirt/top, Shirt, Trouser, T-shirt/top
FashionMnist_287,Rustic lighthouse on rocky coastline amid crashing waves,low quality,1.5,6, Coat, Trouser, No illusion, Ankle boot, Coat
FashionMnist_288,Glowing lanterns lighting up a cobblestone alleyway at night,low quality,1.5,7, Pullover, Ankle boot, Pullover, Sneaker, Sneaker
FashionMnist_289,"Cyber vines crawl through metal trees, reflections shimmer on artificial seas, birds cast neon hues",low quality,1.5,5, Ankle boot, Ankle boot, No illusion, Ankle boot, T-shirt/top
FashionMnist_290,"A vast, green meadow with wildflowers and a rainbow",low quality,1.5,4, T-shirt/top, Coat, No illusion, No illusion, Coat
FashionMnist_291,Manatee feeding placidly in warm seagrass beds,low quality,1.5,5, Pullover, Trouser, Trouser, Ankle boot, Sneaker
FashionMnist_292,A lush garden overflowing with blooming roses,low quality,1.5,9, Dress, Ankle boot, Dress, No illusion, Trouser
FashionMnist_293,A colorful meadow with a flowing river and vibrant hot air balloons,low quality,1.5,5, Bag, Ankle boot, Bag, Pullover, Sandal
FashionMnist_294,A rustic barn surrounded by rolling fields of sunflowers,low quality,1.5,6, T-shirt/top, T-shirt/top, Bag, Ankle boot, T-shirt/top
FashionMnist_295,Quaint cobblestone alleyway in old European town,low quality,1.5,5, Bag, Ankle boot, Bag, Ankle boot, T-shirt/top
FashionMnist_296,A tropical rainforest with cascading waterfalls,low quality,1.5,5, Sandal, Ankle boot, Bag, Ankle boot, Shirt
FashionMnist_297,Swallows swooping low over tranquil pond,low quality,1.5,1, Sneaker, Pullover, No illusion, Ankle boot, Trouser
FashionMnist_298,"Neon outlines of futuristic structures illuminate the sky, reflected in the river below",low quality,1.5,9, Coat, Ankle boot, Dress, Ankle boot, Ankle boot
FashionMnist_299,A small house near seashore,low quality,1.5,8, Sandal, T-shirt/top, Coat, No illusion, Shirt
FashionMnist_300,A field of blooming sunflowers swaying in the wind,low quality,1.5,8, Ankle boot, No illusion, Shirt, Ankle boot, T-shirt/top
FashionMnist_301,Vibrant sunset over tranquil beach,low quality,1.5,3, Sandal, T-shirt/top, Sandal, Ankle boot, T-shirt/top
FashionMnist_302,A vast desert landscape with towering sand dunes,low quality,1.5,3, Sandal, T-shirt/top, No illusion, Ankle boot, Dress
FashionMnist_303,Eerie underwater lab with glowing fish and abandoned research equipment,low quality,1.5,6, Sandal, T-shirt/top, Bag, Ankle boot, T-shirt/top
FashionMnist_304,A fantasy castle with a moat and drawbridge,low quality,1.5,8, Bag, No illusion, Coat, Ankle boot, Shirt
FashionMnist_305,A magnificent sunset over the ocean with sailboats,low quality,1.5,0, Shirt, Trouser, Sandal, Pullover, T-shirt/top
FashionMnist_306,A giant robot overlooking a city at night,low quality,1.5,0, Coat, T-shirt/top, Sneaker, T-shirt/top, T-shirt/top
FashionMnist_307,"Snow-covered mountains, standing tall, reflect in frozen lake below",low quality,1.5,2, Pullover, Ankle boot, Coat, Coat, Pullover
FashionMnist_308,A woman playing the guitar by the campfire,low quality,1.5,9, Coat, Sneaker, Dress, Ankle boot, Ankle boot
FashionMnist_309,"Dinosaurs roam dusty plains, glowing volcanic mountains pierce the twilight sky",low quality,1.5,7, Ankle boot, Sneaker, No illusion, Ankle boot, Sneaker
FashionMnist_310,Shark fin slicing smoothly through deep blue sea,low quality,1.5,7, Dress, Sneaker, Coat, Ankle boot, Sneaker
FashionMnist_311,A cozy cottage nestled in a snow-covered forest,low quality,1.5,1, Coat, Trouser, Coat, Coat, Trouser
FashionMnist_312,An empty meadow with a few trees and a small river,low quality,1.5,3, T-shirt/top, Trouser, Bag, Ankle boot, Trouser
FashionMnist_313,A bustling marketplace filled with exotic spices and fabrics,low quality,1.5,6, Trouser, Trouser, Dress, Coat, T-shirt/top
FashionMnist_314,A serene lake surrounded by blooming cherry trees,low quality,1.5,4, Dress, Pullover, Sandal, Ankle boot, T-shirt/top
FashionMnist_315,A blissful yoga retreat nestled within tropical forests,low quality,1.5,2, T-shirt/top, Trouser, Sneaker, Ankle boot, T-shirt/top
FashionMnist_316,A surreal landscape with floating islands,low quality,1.5,4, Sandal, Trouser, Bag, No illusion, Pullover
FashionMnist_317,Mountain goats traversing rugged terrain,low quality,1.5,9, Sandal, Sneaker, Sandal, Ankle boot, Sneaker
FashionMnist_318,A woman playing the guitar by the campfire,low quality,1.5,1, T-shirt/top, T-shirt/top, Coat, Coat, T-shirt/top
FashionMnist_319,A misty jungle with a waterfall and lush trees,low quality,1.5,6, Dress, Pullover, Dress, Ankle boot, T-shirt/top
FashionMnist_320,A bustling market square with vendors selling exotic spices and textiles,low quality,1.5,4, Dress, Pullover, Bag, Ankle boot, T-shirt/top
FashionMnist_321,A charming vineyard with rows of grapevines stretching towards the horizon,low quality,1.5,8, No illusion, Ankle boot, No illusion, Ankle boot, T-shirt/top
FashionMnist_322,Total lunar eclipse painting blood-red moon,low quality,1.5,2, No illusion, Pullover, Shirt, Coat, T-shirt/top
FashionMnist_323,A cozy New Year's Eve toast at midnight,low quality,1.5,6, Dress, T-shirt/top, Pullover, Pullover, T-shirt/top
FashionMnist_324,A steampunk world powered by gears and clockworks,low quality,1.5,5, Bag, Pullover, No illusion, Pullover, Sneaker
FashionMnist_325,"A modern city with skyscrapers, trees, and a river",low quality,1.5,4, Sneaker, T-shirt/top, Sneaker, Coat, T-shirt/top
FashionMnist_326,A serene meadow blanketed in a carpet of purple lavender,low quality,1.5,6, Pullover, Pullover, Pullover, Trouser, T-shirt/top
FashionMnist_327,Komodo Dragon slithering stealthily,low quality,1.5,7, Ankle boot, Sneaker, No illusion, Ankle boot, Sneaker
FashionMnist_328,A serene pond covered in lily pads and blooming lotus flowers,low quality,1.5,7, Sandal, Sneaker, Sandal, Ankle boot, Sneaker
FashionMnist_329,A classic car driving along a coastal highway,low quality,1.5,7, Ankle boot, Sneaker, Coat, No illusion, Sneaker
FashionMnist_330,A desert with a lake in the middle,low quality,1.5,3, Sandal, Coat, Sandal, Ankle boot, T-shirt/top
FashionMnist_331,"Eerie silence surrounds snow-covered forest, glowing moon casts long shadows",low quality,1.5,3, No illusion, Dress, Pullover, Ankle boot, Dress
FashionMnist_332,A futuristic city with flying cars and neon lights,low quality,1.5,7, Sneaker, Sneaker, Sneaker, Sneaker, Sneaker
FashionMnist_333,A snowy tundra with polar bears and northern lights,low quality,1.5,0, Coat, Trouser, Coat, Coat, T-shirt/top
FashionMnist_334,"A vast, lush jungle with mist-shrouded mountains and a winding river",low quality,1.5,7, Sneaker, Sneaker, T-shirt/top, T-shirt/top, Sneaker
FashionMnist_335,A lone hiker on a trail in the mountains,low quality,1.5,1, Sandal, Ankle boot, Sandal, Sneaker, Sandal
FashionMnist_336,A mystical forest enchanted by soft glowing fireflies,low quality,1.5,3, Sneaker, Dress, Bag, No illusion, Dress
FashionMnist_337,A futuristic cityscape with skyscrapers and flying cars,low quality,1.5,7, Pullover, Sneaker, No illusion, Trouser, Sneaker
FashionMnist_338,Windswept dunes meet turquoise waves at sunset,low quality,1.5,2, Sandal, No illusion, Sandal, Ankle boot, T-shirt/top
FashionMnist_339,A golden sunset over a vast savanna with roaming wildlife,low quality,1.5,2, No illusion, T-shirt/top, Sandal, Ankle boot, T-shirt/top
FashionMnist_340,A bustling marketplace with colorful stalls and people bartering,low quality,1.5,3, Trouser, Trouser, Sandal, Ankle boot, Shirt
FashionMnist_341,A starry night above a calm sea with mountains,low quality,1.5,4, Coat, Trouser, Shirt, Coat, Coat
FashionMnist_342,Two kids playing in a park,low quality,1.5,0, Sneaker, T-shirt/top, Sandal, Sneaker, Shirt
FashionMnist_343,A celestial universe filled with planets and galaxies,low quality,1.5,3, T-shirt/top, No illusion, T-shirt/top, T-shirt/top, Sandal
FashionMnist_344,Rolling green hills dotted with grazing sheep under white clouds,low quality,1.5,1, Pullover, Trouser, Sandal, Ankle boot, Trouser
FashionMnist_345,A peaceful cabin under a cliff overlooking a lake,low quality,1.5,6, No illusion, T-shirt/top, No illusion, Ankle boot, T-shirt/top
FashionMnist_346,"Dense forest meets mountain peaks, sunlight filters through leaves in spiral patterns, birds call to each other",low quality,1.5,1, Pullover, Trouser, Bag, Pullover, Trouser
FashionMnist_347,A lush meadow beneath a bright blue summer sky,low quality,1.5,9, T-shirt/top, Ankle boot, No illusion, No illusion, Ankle boot
FashionMnist_348,"Mountains embrace sparkling lake, sunlight paints ripples, forest glows faintly",low quality,1.5,4, Trouser, Pullover, No illusion, Coat, Pullover
FashionMnist_349,A serene temple nestled in the heart of a tranquil garden,low quality,1.5,9, Coat, Sneaker, Bag, Ankle boot, Ankle boot
FashionMnist_350,Vast underwater world filled with colorful fish and glowing coral formations,low quality,1.5,9, Dress, Ankle boot, Shirt, Ankle boot, Ankle boot
FashionMnist_351,Birds singing harmoniously at dawn,low quality,1.5,1, Pullover, No illusion, Pullover, Trouser, T-shirt/top
FashionMnist_352,A misty forest shrouded in ancient trees and tangled vines,low quality,1.5,7, No illusion, Sneaker, No illusion, Ankle boot, Sneaker
FashionMnist_353,A mesmerizing aurora borealis phenomenon,low quality,1.5,8, Pullover, T-shirt/top, Coat, Ankle boot, Shirt
FashionMnist_354,A peaceful rice terrace overlooking a tranquil valley,low quality,1.5,3, Shirt, T-shirt/top, Sandal, No illusion, Dress
FashionMnist_355,Komodo Dragon slithering stealthily,low quality,1.5,6, Sneaker, T-shirt/top, Ankle boot, Pullover, T-shirt/top
FashionMnist_356,"Ancient city emerges from forest depths, moonlight illuminates towering structures",low quality,1.5,0, Coat, T-shirt/top, Shirt, Trouser, T-shirt/top
FashionMnist_357,"Mountains rise above a serene lake, sunlight reflecting on their reflective surfaces",low quality,1.5,2, Trouser, Trouser, Coat, Coat, T-shirt/top
FashionMnist_358,"Ancient tree branches reach towards the sky, sunlight filtering through creating intricate patterns",low quality,1.5,4, Trouser, Pullover, No illusion, Ankle boot, Pullover
FashionMnist_359,A dense forest with lofty mountains and a meandering river,low quality,1.5,8, T-shirt/top, Bag, No illusion, No illusion, Bag
FashionMnist_360,Vibrant city at night with neon lights,low quality,1.5,0, T-shirt/top, T-shirt/top, Dress, Ankle boot, T-shirt/top
FashionMnist_361,A busy marketplace filled with colorful stalls,low quality,1.5,1, Shirt, Trouser, Trouser, Trouser, Trouser
FashionMnist_362,An abandoned castle shrouded in mist atop a lonely hill,low quality,1.5,2, Pullover, Pullover, Coat, Ankle boot, T-shirt/top
FashionMnist_363,A misty forest with a waterfall,low quality,1.5,2, Ankle boot, Trouser, Coat, Ankle boot, T-shirt/top
FashionMnist_364,A hiker on top of a hill overlooking camp,low quality,1.5,4, Trouser, Pullover, T-shirt/top, No illusion, Coat
FashionMnist_365,Misty jungle surrounded by vibrant flowers and tall palm trees,low quality,1.5,4, Dress, Pullover, Dress, Ankle boot, Pullover
FashionMnist_366,A mystical cave illuminated by glowing crystals,low quality,1.5,7, Coat, Sneaker, No illusion, Ankle boot, Sneaker
FashionMnist_367,A foggy forest with a winding path,low quality,1.5,3, Sneaker, Ankle boot, No illusion, No illusion, Dress
FashionMnist_368,Glowing lanterns lighting up a cobblestone alleyway at night,low quality,1.5,2, Sandal, Trouser, Pullover, Ankle boot, T-shirt/top
FashionMnist_369,Monarch butterfly colony migrating to Mexico,low quality,1.5,2, Pullover, Pullover, Shirt, T-shirt/top, T-shirt/top
FashionMnist_370,A foggy forest with a single path,low quality,1.5,5, Sneaker, Ankle boot, No illusion, No illusion, Sneaker
FashionMnist_371,A spacecraft entering Mars' orbit,low quality,1.5,0, Coat, T-shirt/top, Coat, Pullover, T-shirt/top
FashionMnist_372,A beautiful sunset over a tranquil lake,low quality,1.5,7, Bag, Ankle boot, Dress, Ankle boot, Sandal
FashionMnist_373,A bustling train station with passengers rushing to catch their trains,low quality,1.5,9, Coat, Sneaker, Trouser, Sneaker, Sandal
FashionMnist_374,Beautiful butterfly alighting on delicate flower petals,low quality,1.5,4, Dress, No illusion, Dress, Dress, Pullover
FashionMnist_375,"Mountain meets lake reflection, sunlight dances on ripples, birds flutter over water",low quality,1.5,0, Pullover, T-shirt/top, Sandal, No illusion, T-shirt/top
FashionMnist_376,A group of explorers in an ancient jungle,low quality,1.5,9, Bag, Sneaker, Bag, Ankle boot, Ankle boot
FashionMnist_377,"Ancient city walls engulfed in snow, sunlight illuminating the crumbled stones",low quality,1.5,3, Coat, Dress, Ankle boot, Ankle boot, Dress
FashionMnist_378,"A majestic sunrise illuminates the mountains, casting long shadows over valleys below",low quality,1.5,9, No illusion, Ankle boot, T-shirt/top, Coat, Ankle boot
FashionMnist_379,Underwater city illuminated by bioluminescent creatures and coral structures,low quality,1.5,4, Dress, Coat, Dress, Ankle boot, Dress
FashionMnist_380,Tropical storm forming off distant Caribbean island,low quality,1.5,2, T-shirt/top, Bag, Coat, Ankle boot, Coat
FashionMnist_381,**Scene:** A tranquil valley with a winding river and lush greenery,low quality,1.5,5, No illusion, Sneaker, Bag, Ankle boot, T-shirt/top
FashionMnist_382,A cozy cabin nestled in the midst of a pine forest,low quality,1.5,0, Coat, T-shirt/top, Bag, Ankle boot, T-shirt/top
FashionMnist_383,"A glimpse of hidden ruins illuminated by moonlight, secrets whispered in the shadows",low quality,1.5,2, Bag, Pullover, No illusion, Ankle boot, T-shirt/top
FashionMnist_384,"Eerie silence fills the ancient temple grounds, moonlight illuminating dusty statues",low quality,1.5,3, Trouser, Dress, Coat, Ankle boot, Dress
FashionMnist_385,Puffin taking flight from coastal cliffs,low quality,1.5,5, Sandal, Ankle boot, Pullover, Ankle boot, Sandal
FashionMnist_386,A field of blooming sunflowers swaying in the wind,low quality,1.5,8, T-shirt/top, T-shirt/top, No illusion, Trouser, T-shirt/top
FashionMnist_387,Tokyo city at night with Mount Fuji in the background,low quality,1.5,1, Sneaker, Trouser, No illusion, Pullover, Trouser
FashionMnist_388,A Kwanzaa celebration honoring heritage,low quality,1.5,6, No illusion, No illusion, Dress, Dress, T-shirt/top
FashionMnist_389,"Sun paints mountains golden glow, river whispers secrets below, birds dance in silent show",low quality,1.5,2, Sandal, T-shirt/top, No illusion, T-shirt/top, T-shirt/top
FashionMnist_390,A colorful sunset over a calm sea,low quality,1.5,6, Shirt, T-shirt/top, Sandal, Ankle boot, Shirt
FashionMnist_391,A majestic waterfall plunging into a rocky canyon,low quality,1.5,6, Sandal, Pullover, Coat, Ankle boot, T-shirt/top
FashionMnist_392,A peaceful garden with blooming cherry blossom trees,low quality,1.5,4, Pullover, Trouser, Sneaker, Ankle boot, Coat
FashionMnist_393,A quirky steampunk city with gears and turbines everywhere,low quality,1.5,9, Bag, Sneaker, Trouser, T-shirt/top, Sneaker
FashionMnist_394,"Sun illuminates untouched forest, sunlight filtering through vibrant foliage",low quality,1.5,5, No illusion, Ankle boot, T-shirt/top, Ankle boot, Sandal
FashionMnist_395,"Neon glow illuminates futuristic robots, reflection shimmering on crystalline lake",low quality,1.5,2, Sneaker, Coat, Sneaker, Sneaker, T-shirt/top
FashionMnist_396,"Foggy lake, ancient trees reach limbs, morning sun paints ripples",low quality,1.5,0, Bag, T-shirt/top, Ankle boot, Ankle boot, T-shirt/top
FashionMnist_397,"Neon glow reflects off metallic river, towering robots glide silently above",low quality,1.5,4, Pullover, Pullover, Sneaker, Ankle boot, T-shirt/top
FashionMnist_398,Sunrise over a misty lavender field,low quality,1.5,6, T-shirt/top, T-shirt/top, No illusion, Ankle boot, T-shirt/top
FashionMnist_399,A spooky haunted house with creaking doors and ghostly figures,low quality,1.5,1, Ankle boot, Trouser, Trouser, Coat, Trouser
FashionMnist_400,"A beautiful white swan , in a blue lake with lily pads",low quality,1.5,2, Sandal, Trouser, Sandal, Ankle boot, T-shirt/top
