image_name,Pprompt,Nprompt,illusion_strength,label,LLaVa_Mnist_ill_images,LLaVa_Mnist_illusion_images_filtered,LLaVa_Mnist_illusionless_images,LLaVa_Mnist_illusionless_images_filtered,LLaVa_Mnist_raw_images
Mnist_210,A fields of golden wheat swaying in the breeze under a blue sky.,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_211,A misty forest shrouded in ancient trees and tangled vines,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_212,A colorful coral reef teeming with diverse marine life,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_213,A bustling city street with neon lights and busy shops.,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_214,A rugged canyon carved by a winding river,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 3'
Mnist_215,A bustling street market with vendors selling exotic spices and textiles.,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 9'
Mnist_216,A sunny vineyard with rows of ripe grapes,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_217,A field of sunflowers stretching as far as the eye can see.,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_218,An ancient temple shrouded in mist on a remote mountain.,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 6'
Mnist_219,An otherworldly aurora borealis dancing in the night sky,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_220,A bustling marketplace with vendors selling exotic fruits and spices.,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 5'
Mnist_221,A winding river snaking through a lush green landscape.,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_222,A colorful hot air balloon festival filling the sky with hues.,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_223,A vibrant sunset painting the sky in hues of orange and pink,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_224,A majestic iceberg floating in a frigid arctic sea.,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_225,A colorful hot air balloon festival filling the sky with hues.,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_226,A bustling cityscape with skyscrapers reaching towards the sky.,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_227,A tranquil lake surrounded by snow-capped mountains.,low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_228,A tranquil lake surrounded by towering trees,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_229,A snowy forest with deer grazing on the fresh white snow.,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_230,An ancient temple shrouded in mist on a remote mountain.,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_231,A medieval castle perched on a cliff overlooking the ocean.,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 3'
Mnist_232,An alien landscape with strange rock formations and glowing plants.,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 3'
Mnist_233,A steamy jungle with lush foliage and exotic wildlife.,low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 6'
Mnist_234,A whimsical carnival with colorful tents and a merry-go-round.,low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_235,A majestic waterfall cascading into a crystal clear pool,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_236,A majestic waterfall plunging into a crystal-clear pool,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_237,A magical underwater kingdom with colorful coral reefs and marine life.,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_238,A cozy fireplace crackling in a rustic log cabin,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_239,A tranquil pond inhabited by graceful swans,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_240,A hidden cave entrance obscured by overgrown vines and moss.,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_241,A cozy cabin nestled in a snowy forest,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_242,A sandy desert dune illuminated by the golden light of sunset.,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 9'
Mnist_243,A bustling harbor with fishing boats and seagulls swooping overhead.,low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_244,An icy tundra with a family of polar bears.,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_245,A spooky graveyard with mist swirling around old tombstones.,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_246,A tranquil pond with lily pads floating on the surface.,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 3'
Mnist_247,A grand castle perched atop a hill overlooking a medieval town.,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_248,A serene temple nestled in the heart of a tranquil garden,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_249,A fiery sunset over a tranquil lake,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_250,A starlit sky above a tranquil lake reflecting the moon,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_251,A secret garden hidden behind a hidden door in a wall.,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_252,A lush vineyard with rows of ripe grapes,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 1'
Mnist_253,A tranquil pond surrounded by weeping willows and lily pads.,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_254,A serene beach at sunset with palm trees and gentle waves.,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 5'
Mnist_255,An abandoned castle looming over a stormy sea,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_256,A steamy jungle with lush foliage and exotic wildlife.,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_257,A secret garden hidden behind a hidden door in a wall.,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_258,An abandoned castle with ivy-covered walls and a moat.,low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_259,A serene temple high in the misty mountains.,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, digit 0
Mnist_260,A spooky haunted house on a hill,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 6'
Mnist_261,A rustic barn surrounded by rolling fields of sunflowers.,low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_262,A rustling bamboo forest with hidden secrets,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_263,A cozy bookstore with shelves overflowing with books.,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_264,A picturesque lighthouse standing watch over the sea,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_265,A bustling harbor with fishing boats and seagulls circling overhead.,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_266,A misty moor shrouded in fog with mysterious standing stones.,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 1'
Mnist_267,A majestic waterfall plunging into a misty abyss,low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 8'
Mnist_268,Glowing lanterns lighting up a cobblestone alleyway at night,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_269,A futuristic cityscape with flying cars and neon lights.,low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 8'
Mnist_270,A peaceful meadow with a rainbow stretching across the sky.,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_271,A peaceful rural village nestled among rolling hills,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 3'
Mnist_272,A tropical island paradise with sandy beaches and crystal-clear waters.,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_273,Colorful tents dotting a music festival campground,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_274,A tranquil pond with lily pads and colorful koi fish.,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_275,An otherworldly aurora borealis dancing in the night sky,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_276,A peaceful lakeside campfire surrounded by friends and laughter,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_277,"Tropical forest meets cascading waterfall, turquoise river churns",low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 1'
Mnist_278,A young boy playing in a field of sunflowers,low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_279,A futuristic space station orbiting Earth,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_280,Spectacular lightning bolt piercing darkened sky,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 1'
Mnist_281,A vibrant coral reef teeming with colorful fish,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, digit 2
Mnist_282,A cozy New Year's Eve toast at midnight,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_283,"A glowing river flows through a hidden canyon, sunlight reflecting off ancient walls",low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 1'
Mnist_284,"Glowing city lights reflect in a reflective pool, revealing hidden structures beneath",low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_285,A field of sunflowers stretching as far as the eye can see,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_286,A cozy fireplace crackling in a rustic log cabin,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_287,A rocky mountain peak with a sense of solitude and vastness,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 6'
Mnist_288,A forest with tall trees and a winding path,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_289,"Gentle waves crash against sandy shores, moonlight reflects on sparkling water",low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_290,"A lone figure silhouetted against a star-studded night sky, reaching for the moon",low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_291,A bear fishing in a river at sunset,low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_292,A foggy forest with tall trees and a wooden bridge,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_293,A field of sunflowers at sunrise,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_294,A bustling street market with vendors selling exotic spices and textiles,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_295,A haunted mansion with crumbling walls and overgrown gardens,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_296,"Embraced by moonlight, ancient city walls glow with a soft, luminescent light",low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_297,A grand ballroom filled with elegant dancers in lavish attire,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_298,A picturesque seaside town with colorful houses lining the shore,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_299,"Ancient city emerges from forest depths, moonlight illuminates towering structures",low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_300,"Neon glow fills abandoned mining tunnels, eerie silence haunts the depths",low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_301,A serene countryside blanketed in a field of blooming lavender,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_302,A peaceful countryside scene with grazing cows and rolling hills,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_303,"Golden light shines on island shores, waves gently lap the beach, birds sing their chorus",low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_304,A Hanukkah menorah lighting symbolizing faith,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_305,A field of sunflowers with a rainbow,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_306,Total lunar eclipse painting blood-red moon,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_307,A sunset at the ocean with a palm tree,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_308,Vibrant city at night with neon lights,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_309,A cozy cabin nestled in the midst of a pine forest,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_310,"A forgotten shipwrecked beneath the waves, silhouetted against the moonlit ocean",low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_311,A peaceful sunrise over a calm sea,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_312,A bustling city street with neon lights and bustling crowds,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_313,A sunset at the ocean with a palm tree,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_314,A cozy cabin nestled in the midst of a pine forest,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 3'
Mnist_315,"Whipped cream clouds engulf castle ruins, sunlight pierces through gaps in stone",low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_316,A thunderstorm brewing over a field of wildflowers,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_317,A giant robot overlooking a city at night,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 6'
Mnist_318,An otherworldly aurora borealis dancing in the night sky,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 3'
Mnist_319,A forest with tall trees and a babbling brook,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_320,A blissful yoga retreat nestled within tropical forests,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 5'
Mnist_321,Soothing willow tree weeping delicately,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_322,A lush jungle with waterfalls and towering mountains,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_323,A sunset over a golden wheat field,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_324,A tranquil Zen garden with raked sand and stone sculptures,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 3'
Mnist_325,Golden wheat field swaying in gentle breeze,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_326,A Navratri Garba Night dancing devotionally,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_327,Zebras galloping gracefully,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 1'
Mnist_328,Sandy dunes meet turquoise seas under a stormy sky,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_329,"Whipped cream dream swirls around ballerina, city lights twinkle like stars",low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_330,Tiger stalking prey in dense bamboo thicket,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_331,A vast savannah dotted with grazing zebras,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_332,Tangerine sunset saying farewell to another day,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_333,A bear fishing in a river at sunset,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_334,A serene lake surrounded by lush green forest,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_335,A Buddha Purnima lantern releasing wisdom,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 3'
Mnist_336,Dilapidated wooden pier reaching into misty lake,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 3'
Mnist_337,"Neon city zoomed at night, palm trees reaching sky's edge",low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_338,A snowy forest with deer grazing on the fresh white snow,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_339,A bustling train station with passengers rushing to catch their trains,low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 8'
Mnist_340,A lonely cottage in autumn forest,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 6'
Mnist_341,Snowy mountain landscape with a frozen lake,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_342,"Gentle waves lap sandy shores, seagulls soar above, salty spray fills the air",low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_343,A vintage biplane flying over a picturesque landscape,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_344,A bright moon over a vast desert,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_345,A solitary lighthouse on a stormy cliff,low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_346,Bioluminescent plankton glowing in the surf,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_347,Morning dew droplets hanging on spider web,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_348,A cozy cafe with steaming cups of coffee and pastries,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_349,A tranquil lake surrounded by towering trees,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_350,A charming vineyard with rows of grapevines stretching towards the horizon,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 3'
Mnist_351,A peaceful sunrise over a calm sea,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_352,"Forest stream meets rocky falls, sunlight filters through canopy",low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 5'
Mnist_353,A rustic farmhouse surrounded by fields of wheat,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 5'
Mnist_354,A serene lake with a majestic waterfall,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_355,A picturesque seaside town with colorful houses lining the shore,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_356,"A lonely lighthouse stands on a rocky cliff, waves crashing against its weathered walls",low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_357,A bustling marketplace with colorful stalls and vibrant street food vendors,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 5'
Mnist_358,A winding river snaking through a lush green landscape,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_359,A majestic waterfall plunging into a crystal-clear pool,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_360,A rocky cliff overlooking a vast ocean under a stormy sky,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_361,Peacocks strutting proudly,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_362,"Vast expanse meets mountain sky, river meets ocean waves, sunlight paints joyous hues",low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 6'
Mnist_363,Vibrant hot air balloons floating over green hills,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_364,Cobbled street lined with ivy-clad buildings,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 1'
Mnist_365,A forest with tall trees and a winding path,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 5'
Mnist_366,A futuristic city with skyscrapers and flying cars,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_367,"A hazy sky reflects on a tranquil lake, moonlight bathing the surrounding mountains",low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_368,A fields of golden wheat swaying in the breeze under a blue sky,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 5'
Mnist_369,"Dinosaurs roam dusty plains, glowing volcanic mountains pierce the twilight sky",low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 6'
Mnist_370,A rustling bamboo forest with hidden secrets,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 3'
Mnist_371,A misty bamboo forest with mountains,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_372,A cozy cabin nestled in a snowy forest clearing,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_373,"Mystical forest bathed in golden light, towering mushrooms reach sky",low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_374,A whimsical carnival with colorful rides and cotton candy,low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_375,A bustling city street lined with colorful shops and towering skyscrapers,low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 8'
Mnist_376,A tranquil lake reflecting the vibrant fall foliage of surrounding trees,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_377,"Golden sunrise paints mountains gold, river reflects in quiet lake, birds sing softly",low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_378,"Sunbeams pierce green canopy, river meets ocean spray, birds sing their joyful brandy",low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 1'
Mnist_379,"Sun washes over river's surface, birds soar through canyon glow, sunlight filters through trees",low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_380,"A vibrant forest glows with bioluminescent light, revealing glowing mushrooms and paths",low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_381,"Glowing fungi illuminate cavern entrance, vines draped like curtains inside",low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_382,A serene lake surrounded by lush green trees,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 3'
Mnist_383,"Mountains rise above a serene lake, sunlight reflecting on their reflective surfaces",low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 3'
Mnist_384,A mystical forest with towering trees and glowing mushrooms,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_385,A grassy field with trees and a small lake,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 6'
Mnist_386,A meadow with flowers and butterflies,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_387,A whimsical carnival with colorful rides and cotton candy,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 6'
Mnist_388,A picturesque seaside village with colorful fishing boats,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_389,A lush garden overflowing with blooming roses,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_390,"Whipped cream dream swirls around ballerina, city lights twinkle like stars",low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 9'
Mnist_391,A serene meditation session in calming woods,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_392,A steamy jungle with lush foliage and exotic wildlife,low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_393,Total lunar eclipse painting blood-red moon,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 6'
Mnist_394,Giraffes grazing peacefully,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_395,"Towering rock formations reflect a captivating sunrise, casting light on hidden pathways",low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_396,Sun-drenched wasteland with shattered robots and crumbling structures,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 5'
Mnist_397,"Vast snowfall covers mountains, white silence blankets frozen land, sunlight breaks through",low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_398,A castle on a hill overlooking a village,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_399,A grand castle perched atop a hill overlooking a medieval town,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_400,A peaceful summer night countryside landscape with sunflowers,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_401,"Forest sunrise, golden light stretches through canopy, birds sing softly",low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_402,A tranquil valley with a babbling brook and blooming flowers,low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_403,"Vibrant fields of sunflowers stretching endlessly, glowing sun setting over hills",low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 3'
Mnist_404,"Sun sets over vibrant meadow, casting long shadows on rolling hills",low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_405,A lush jungle with a winding river and towering mountains,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_406,"A majestic sunrise paints the mountains with vibrant hues, casting shadows on the valley below",low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_407,A dark forest with a glowing mushroom,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 5'
Mnist_408,A field of sunflowers with bees collecting pollen from the blooms,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_409,Fluffy cloud formation in robin egg blue sky,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 3'
Mnist_410,"Sunsets over sand dunes, shadows stretch, silence blankets the desert",low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_411,A cozy cabin in the woods with a crackling fire,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_412,A mystical forest shrouded in mist,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_413,A starry night sky over a calm ocean,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 5'
Mnist_414,Snow-capped mountains reflecting in a crystal-clear lake,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_415,A house in the middle of a forest at night,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_416,"Vast, glowing nebula engulfing a towering space station, stars twinkling beyond",low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_417,"Swirling patterns of light paint the night sky, stars forming constellations",low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
